ID,Data Point,Column Name,Category,Sub Category,SF3 Variable
196,Ed:Male Nursery School to 4th Grade,attainment_m_nurseryschoolto4thgrade,Population,Educational Attainment,P037004
197,Ed:Male 5th to 6th Grade,attainment_m_5thto6thgrade,Population,Educational Attainment,P037005
198,Ed:Male 7th to 8th Grade,attainment_m_7thto8thgrade,Population,Educational Attainment,P037006
199,Ed:Male 9th Grade,attainment_m_9thgrade,Population,Educational Attainment,P037007
200,Ed:Male 10th Grade,attainment_m_10thgrade,Population,Educational Attainment,P037008
201,Ed:Male 11th Grade,attainment_m_11thgrade,Population,Educational Attainment,P037009
202,Ed:Male 12th Grade No Diploma,attainment_m_12thgradenodiploma,Population,Educational Attainment,P037010
203,Ed:Male High School Diploma or Equivalent,attainment_m_highschooldiplomaorequivalent,Population,Educational Attainment,P037011
204,Ed:Male Some College Less than 1 Year,attainment_m_somecollegelessthan1year,Population,Educational Attainment,P037012
205,Ed:Male Some College 1 or More Years No Degree,attainment_m_somecollege1ormoreyearsnodegree,Population,Educational Attainment,P037013
206,Ed:Male Associate's Degree,attainment_m_associatesdegree,Population,Educational Attainment,P037014
207,Ed:Male Bachelor's Degree,attainment_m_bachelorsdegree,Population,Educational Attainment,P037015
208,Ed:Male Master's Degree,attainment_m_mastersdegree,Population,Educational Attainment,P037016
209,Ed:Male Professional School Degree,attainment_m_professionalschooldegree,Population,Educational Attainment,P037017
210,Ed:Male Doctorate Degree,attainment_m_doctoratedegree,Population,Educational Attainment,P037018
211,Ed:Female,attainment_f,Population,Educational Attainment,P037019
212,Ed:Female No Schooling,attainment_f_noschooling,Population,Educational Attainment,P037020
213,Ed:Female Nursery School to 4th Grade,attainment_f_nurseryschoolto4thgrade,Population,Educational Attainment,P037021
214,Ed:Female 5th to 6th Grade,attainment_f_5thto6thgrade,Population,Educational Attainment,P037022
215,Ed:Female 7th to 8th Grade,attainment_f_7thto8thgrade,Population,Educational Attainment,P037023
216,Ed:Female 9th Grade,attainment_f_9thgrade,Population,Educational Attainment,P037024
217,Ed:Female 10th Grade,attainment_f_10thgrade,Population,Educational Attainment,P037025
218,Ed:Female 11th Grade,attainment_f_11thgrade,Population,Educational Attainment,P037026
219,Ed:Female 12th Grade No Diploma,attainment_f_12thgradenodiploma,Population,Educational Attainment,P037027
220,Ed:Female High School Diploma or Equivalent,attainment_f_highschooldiplomaorequivalent,Population,Educational Attainment,P037028
221,Ed:Female Some College Less than 1 Year,attainment_f_somecollegelessthan1year,Population,Educational Attainment,P037029
222,Ed:Female Some College 1 or More Years No Degree,attainment_f_somecollege1ormoreyearsnodegree,Population,Educational Attainment,P037030
223,Ed:Female Associate's Degree,attainment_f_associatesdegree,Population,Educational Attainment,P037031
224,Ed:Female Bachelor's Degree,attainment_f_bachelorsdegree,Population,Educational Attainment,P037032
225,Ed:Female Master's Degree,attainment_f_mastersdegree,Population,Educational Attainment,P037033
226,Ed:Female Professional School Degree,attainment_f_professionalschooldegree,Population,Educational Attainment,P037034
227,Ed:Female Doctorate Degree,attainment_f_doctoratedegree,Population,Educational Attainment,P037035
