ID,Data Point,Column Name,Category,Sub Category,ACS Variable
187,Male 26 to 34 Without Public Health Insurance,healthcoverage_m26to34_wopublic,Population,Healthcare,B27003_014E
188,Male 35 to 44 Public Healthcare Coverage,healthcoverage_m35to44_publicall,Population,Healthcare,B27003_015E
189,Male 35 to 44 With Public Health Insurance,healthcoverage_m35to44_wpublic,Population,Healthcare,B27003_016E
190,Male 35 to 44 Without Public Health Insurance,healthcoverage_m35to44_wopublic,Population,Healthcare,B27003_017E
191,Male 45 to 54 Public Healthcare Coverage,healthcoverage_m45to54_publicall,Population,Healthcare,B27003_018E
192,Male 45 to 54 With Public Health Insurance,healthcoverage_m45to54_wpublic,Population,Healthcare,B27003_019E
193,Male 45 to 54 Without Public Health Insurance,healthcoverage_m45to54_wopublic,Population,Healthcare,B27003_020E
194,Male 55 to 64 Public Healthcare Coverage,healthcoverage_m55to64_publicall,Population,Healthcare,B27003_021E
195,Male 55 to 64 With Public Health Insurance,healthcoverage_m55to64_wpublic,Population,Healthcare,B27003_022E
196,Male 55 to 64 Without Public Health Insurance,healthcoverage_m55to64_wopublic,Population,Healthcare,B27003_023E
197,Male 65 to 74 Public Healthcare Coverage,healthcoverage_m65to74_publicall,Population,Healthcare,B27003_024E
198,Male 65 to 74 With Public Health Insurance,healthcoverage_m65to74_wpublic,Population,Healthcare,B27003_025E
199,Male 65 to 74 Without Public Health Insurance,healthcoverage_m65to74_wopublic,Population,Healthcare,B27003_026E
200,Male 75 and Over Public Healthcare Coverage,healthcoverage_m75+_publicall,Population,Healthcare,B27003_027E
201,Male 75 and Over With Public Health Insurance,healthcoverage_m75+_wpublic,Population,Healthcare,B27003_028E
202,Male 75 and Over Without Public Health Insurance,healthcoverage_m75+_wopublic,Population,Healthcare,B27003_029E
203,Total Female Public Health Insurance Coverage,healthcoverage_total_fpublic,Population,Healthcare,B27003_030E
204,Female Under 6 Public Healthcare Coverage,healthcoverage_fu6_publicall,Population,Healthcare,B27003_031E
205,Female Under 6 With Public Health Insurance,healthcoverage_fu6_wpublic,Population,Healthcare,B27003_032E
206,Female Under 6 Without Public Health Insurance,healthcoverage_fu6_wopublic,Population,Healthcare,B27003_033E
207,Female 6 to 18  Public Healthcare Coverage,healthcoverage_f6to18_publicall,Population,Healthcare,B27003_034E
208,Female 6 to 18 With Public Health Insurance,healthcoverage_f6to18_wpublic,Population,Healthcare,B27003_035E
209,Female 6 to 18 Without Public Health Insurance,healthcoverage_f6to18_wopublic,Population,Healthcare,B27003_036E
210,Female 19 to 25 Public Healthcare Coverage,healthcoverage_f19to25_publicall,Population,Healthcare,B27003_037E
211,Female 19 to 25 With Public Health Insurance,healthcoverage_f19to25_wpublic,Population,Healthcare,B27003_038E
212,Female 19 to 25 Without Public Health Insurance,healthcoverage_f19to25_wopublic,Population,Healthcare,B27003_039E
213,Female 26 to 34 Public Healthcare Coverage,healthcoverage_f26to34_publicall,Population,Healthcare,B27003_040E
214,Female 26 to 34 With Public Health Insurance,healthcoverage_f26to34_wpublic,Population,Healthcare,B27003_041E
215,Female 26 to 34 Without Public Health Insurance,healthcoverage_f26to34_wopublic,Population,Healthcare,B27003_042E
216,Female 35 to 44 Public Healthcare Coverage,healthcoverage_f35to44_publicall,Population,Healthcare,B27003_043E
217,Female 35 to 44 With Public Health Insurance,healthcoverage_f35to44_wpublic,Population,Healthcare,B27003_044E
218,Female 35 to 44 Without Public Health Insurance,healthcoverage_f35to44_wopublic,Population,Healthcare,B27003_045E
219,Female 45 to 54 Public Healthcare Coverage,healthcoverage_f45to54_publicall,Population,Healthcare,B27003_046E
220,Female 45 to 54 With Public Health Insurance,healthcoverage_f45to54_wpublic,Population,Healthcare,B27003_047E
221,Female 45 to 54 Without Public Health Insurance,healthcoverage_f45to54_wopublic,Population,Healthcare,B27003_048E
222,Female 55 to 64 Public Healthcare Coverage,healthcoverage_f55to64_publicall,Population,Healthcare,B27003_049E
223,Female 55 to 64 With Public Health Insurance,healthcoverage_f55to64_wpublic,Population,Healthcare,B27003_050E
224,Female 55 to 64 Without Public Health Insurance,healthcoverage_f55to64_wopublic,Population,Healthcare,B27003_051E
225,Female 65 to 74 Public Healthcare Coverage,healthcoverage_f65to74_publicall,Population,Healthcare,B27003_052E
226,Female 65 to 74 With Public Health Insurance,healthcoverage_f65to74_wpublic,Population,Healthcare,B27003_053E
227,Female 65 to 74 Without Public Health Insurance,healthcoverage_f65to74_wopublic,Population,Healthcare,B27003_054E
228,Female 75 and Over Public Healthcare Coverage,healthcoverage_f75+_publicall,Population,Healthcare,B27003_055E
229,Female 75 and Over With Public Health Insurance,healthcoverage_f75+_wpublic,Population,Healthcare,B27003_056E
230,Female 75 and Over Without Public Health Insurance,healthcoverage_f75+_wopublic,Population,Healthcare,B27003_057E
231,Total for Poverty Status in the Past 12 Months by Sex by Age,poverty_total_bysexbyage_series,Population,Poverty,B17001_001E
232,Income in the Past 12 Months Below Poverty Level,poverty_belowlevel,Population,Poverty,B17001_002E
233,Housing Units,units_allhousing,Housing,Housing,B25001_001E
234,Total Occupancy Status Series,occupancy_total_series,Housing,Occupancy,B25002_001E
235,Occupied Units,occupancy_occupiedunits,Housing,Occupancy,B25002_002E
236,Vacant Units,occupancy_vacantunits,Housing,Occupancy,B25002_003E
237,Total Tenure Series,tenure_total_series,Housing,Tenure,B25003_001E
238,Owner Occupied Units,tenure_owneroccunits,Housing,Tenure,B25003_002E
239,Renter Occupied Units,tenure_renteroccunits,Housing,Tenure,B25003_003E
240,Total for Units in Structure,units_total_series,Housing,Units in Structure,B25024_001E
241,1 Detached Unit in Structure,units_one_detached,Housing,Units in Structure,B25024_002E
242,1 Attached Unit in Structure,units_one_attached,Housing,Units in Structure,B25024_003E
243,2 Units in Structure,units_two,Housing,Units in Structure,B25024_004E
244,3 or 4 Units in Structure,units_threetofour,Housing,Units in Structure,B25024_005E
245,5 to 9 Units in Structure,units_fivetonine,Housing,Units in Structure,B25024_006E
246,10 to 19 Units in Structure,units_tentonineteen,Housing,Units in Structure,B25024_007E
247,20 to 49 Units in Structure,units_twentytofortynine,Housing,Units in Structure,B25024_008E
248,50 or More Units in Structure,units_fiftyormore,Housing,Units in Structure,B25024_009E
249,Mobile Home Unit,units_mobilehome,Housing,Units in Structure,B25024_010E
250,"Boat, RV, Van etc. Unit",units_boatrvvanetc,Housing,Units in Structure,B25024_011E
251,Total Household Type Series,hhtype_total_series,Housing,Household Type,B11001_001E
252,Family Households,hhtype_familyhh,Housing,Household Type,B11001_002E
253,Family Household Married Couple Family,hhtype_familyhh_marriedcouplefam,Housing,Household Type,B11001_003E
254,Family Households Other Family,hhtype_familyhh_otherfam,Housing,Household Type,B11001_004E
255,Family Households Male Householder No Spouse,hhtype_familyhh_malenospouse,Housing,Household Type,B11001_005E
256,Family Households Female Householder No Spouse,hhtype_familyhh_femalenospouse,Housing,Household Type,B11001_006E
257,Nonfamily Households,hhtype_nonfamhh,Housing,Household Type,B11001_007E
258,Nonfamily Household Householder Living Alone,hhtype_nonfamhh_householderalone,Housing,Household Type,B11001_008E
259,Nonfamily Household Householder Not Living Alone,hhtype_nonfamhh_householdernotalone,Housing,Household Type,B11001_009E
260,Median Household Income,hhincome_median,Housing,Housing,B19013_001E
261,Household Income Total Series,hhincome_total_series,Housing,Household Income,B19001_001E
262,"Household Income Less than $10,000",hhincome_lessthan10000,Housing,Household Income,B19001_002E
263,"Household Income 10,000 to 14,999",hhincome_10to14999,Housing,Household Income,B19001_003E
264,"Household Income 15,000 to 19,999",hhincome_15to19999,Housing,Household Income,B19001_004E
265,"Household Income 20,000 to 24,999",hhincome_20to24999,Housing,Household Income,B19001_005E
266,"Household Income 25,000 to 29,999",hhincome_25to29999,Housing,Household Income,B19001_006E
267,"Household Income 30,000 to 34,999",hhincome_30to34999,Housing,Household Income,B19001_007E
268,"Household Income 35,000 to 39,999",hhincome_35to39999,Housing,Household Income,B19001_008E
269,"Household Income 40,000 to 44,999",hhincome_40to44999,Housing,Household Income,B19001_009E
270,"Household Income 45,000 to 49,999",hhincome_45to49999,Housing,Household Income,B19001_010E
271,"Household Income 50,000 to 59,999",hhincome_50to59999,Housing,Household Income,B19001_011E
272,"Household Income 60,000 to 74,999",hhincome_60to74999,Housing,Household Income,B19001_012E
273,"Household Income 75,000 to 99,999",hhincome_75to99999,Housing,Household Income,B19001_013E
274,"Household Income 100,000 to 124,999",hhincome_100to124999,Housing,Household Income,B19001_014E
275,"Household Income 125,000 to 149,999",hhincome125to149999,Housing,Household Income,B19001_015E
276,"Household Income 150,000 to 199,999",hhincome150to199999,Housing,Household Income,B19001_016E
277,"Household Income 200,000 or More",hhincome200ormore,Housing,Household Income,B19001_017E
278,Total Mortgage Status by Selected Monthly Owner Cost as a Percentage of Household Income in the Past 12 Months Series,housingcost_total_selectedownercosts%hhincome_series,Housing,Cost Burden,B25091_001E
279,Total Percent Owner Costs with a Mortgage Series,housingcost_total%ownercostwmortgage_series,Housing,Cost Burden,B25091_002E
280,Housing Units with a Mortgage 30 to 34.9 Percent,housingcost_%ownercost30to34.9_wmortgage,Housing,Cost Burden,B25091_008E
281,Housing Units with a Mortgage 35 to 39.9 Percent,housingcost_%ownercost35to39.9_wmortgage,Housing,Cost Burden,B25091_009E
282,Housing Units with a Mortgage 40 to 49.9 Percent,housingcost_%ownercost40to49.9_wmortgage,Housing,Cost Burden,B25091_010E
283,Housing Units with a Mortgage 50 or More Percent,housingcost_%ownercost50+_wmortgage,Housing,Cost Burden,B25091_011E
284,Total Percent Owner Costs without a Mortgage Series,housingcost_total%ownercostwomortgage_series,Housing,Cost Burden,B25091_013E
285,Housing Units without a Mortgage 30 to 34.9 Percent,housingcost_%ownercost30to34.9_womortgage,Housing,Cost Burden,B25091_019E
286,Housing Units without a Mortgage 35 to 39.9 Percent,housingcost_%ownercost35to39.9_womortgage,Housing,Cost Burden,B25091_020E
287,Housing Units without a Mortgage 40 to 49.9 Percent,housingcost_%ownercost40to49.9_womortgage,Housing,Cost Burden,B25091_021E
