ID,Data Point,Column Name,Category,Sub Category,ACS Variable,ACS Table
217,Female 35 to 44 With Public Health Insurance,healthcoverage_f35to44_wpublic,Population,Healthcare,B27003_044E,B27003
218,Female 35 to 44 Without Public Health Insurance,healthcoverage_f35to44_wopublic,Population,Healthcare,B27003_045E,B27003
219,Female 45 to 54 Public Healthcare Coverage,healthcoverage_f45to54_publicall,Population,Healthcare,B27003_046E,B27003
220,Female 45 to 54 With Public Health Insurance,healthcoverage_f45to54_wpublic,Population,Healthcare,B27003_047E,B27003
221,Female 45 to 54 Without Public Health Insurance,healthcoverage_f45to54_wopublic,Population,Healthcare,B27003_048E,B27003
222,Female 55 to 64 Public Healthcare Coverage,healthcoverage_f55to64_publicall,Population,Healthcare,B27003_049E,B27003
223,Female 55 to 64 With Public Health Insurance,healthcoverage_f55to64_wpublic,Population,Healthcare,B27003_050E,B27003
224,Female 55 to 64 Without Public Health Insurance,healthcoverage_f55to64_wopublic,Population,Healthcare,B27003_051E,B27003
225,Female 65 to 74 Public Healthcare Coverage,healthcoverage_f65to74_publicall,Population,Healthcare,B27003_052E,B27003
226,Female 65 to 74 With Public Health Insurance,healthcoverage_f65to74_wpublic,Population,Healthcare,B27003_053E,B27003
227,Female 65 to 74 Without Public Health Insurance,healthcoverage_f65to74_wopublic,Population,Healthcare,B27003_054E,B27003
228,Female 75 and Over Public Healthcare Coverage,healthcoverage_f75+_publicall,Population,Healthcare,B27003_055E,B27003
229,Female 75 and Over With Public Health Insurance,healthcoverage_f75+_wpublic,Population,Healthcare,B27003_056E,B27003
230,Female 75 and Over Without Public Health Insurance,healthcoverage_f75+_wopublic,Population,Healthcare,B27003_057E,B27003
231,Total for Poverty Status in the Past 12 Months by Sex by Age,poverty_total_bysexbyage_series,Population,Poverty,B17001_001E,B17001
232,Income in the Past 12 Months Below Poverty Level,poverty_belowlevel,Population,Poverty,B17001_002E,B17001
233,Housing Units,units_allhousing,Housing,Housing,B25001_001E,B25001
234,Total Occupancy Status Series,occupancy_total_series,Housing,Occupancy,B25002_001E,B25002
235,Occupied Units,occupancy_occupiedunits,Housing,Occupancy,B25002_002E,B25002
236,Vacant Units,occupancy_vacantunits,Housing,Occupancy,B25002_003E,B25002
237,Total Tenure Series,tenure_total_series,Housing,Tenure,B25003_001E,B25003
238,Owner Occupied Units,tenure_owneroccunits,Housing,Tenure,B25003_002E,B25003
239,Renter Occupied Units,tenure_renteroccunits,Housing,Tenure,B25003_003E,B25003
240,Total for Units in Structure,units_total_series,Housing,Units in Structure,B25024_001E,B25024
241,1 Detached Unit in Structure,units_one_detached,Housing,Units in Structure,B25024_002E,B25024
242,1 Attached Unit in Structure,units_one_attached,Housing,Units in Structure,B25024_003E,B25024
243,2 Units in Structure,units_two,Housing,Units in Structure,B25024_004E,B25024
244,3 or 4 Units in Structure,units_threetofour,Housing,Units in Structure,B25024_005E,B25024
245,5 to 9 Units in Structure,units_fivetonine,Housing,Units in Structure,B25024_006E,B25024
246,10 to 19 Units in Structure,units_tentonineteen,Housing,Units in Structure,B25024_007E,B25024
247,20 to 49 Units in Structure,units_twentytofortynine,Housing,Units in Structure,B25024_008E,B25024
248,50 or More Units in Structure,units_fiftyormore,Housing,Units in Structure,B25024_009E,B25024
249,Mobile Home Unit,units_mobilehome,Housing,Units in Structure,B25024_010E,B25024
250,"Boat, RV, Van etc. Unit",units_boatrvvanetc,Housing,Units in Structure,B25024_011E,B25024
251,Total Household Type Series,hhtype_total_series,Housing,Household Type,B11001_001E,B11001
252,Family Households,hhtype_familyhh,Housing,Household Type,B11001_002E,B11001
253,Family Household Married Couple Family,hhtype_familyhh_marriedcouplefam,Housing,Household Type,B11001_003E,B11001
254,Family Households Other Family,hhtype_familyhh_otherfam,Housing,Household Type,B11001_004E,B11001
255,Family Households Male Householder No Spouse,hhtype_familyhh_malenospouse,Housing,Household Type,B11001_005E,B11001
256,Family Households Female Householder No Spouse,hhtype_familyhh_femalenospouse,Housing,Household Type,B11001_006E,B11001
257,Nonfamily Households,hhtype_nonfamhh,Housing,Household Type,B11001_007E,B11001
258,Nonfamily Household Householder Living Alone,hhtype_nonfamhh_householderalone,Housing,Household Type,B11001_008E,B11001
259,Nonfamily Household Householder Not Living Alone,hhtype_nonfamhh_householdernotalone,Housing,Household Type,B11001_009E,B11001
260,Median Household Income,hhincome_median,Housing,Housing,B19013_001E,B19013
261,Household Income Total Series,hhincome_total_series,Housing,Household Income,B19001_001E,B19001
262,"Household Income Less than $10,000",hhincome_lessthan10000,Housing,Household Income,B19001_002E,B19001
263,"Household Income 10,000 to 14,999",hhincome_10to14999,Housing,Household Income,B19001_003E,B19001
264,"Household Income 15,000 to 19,999",hhincome_15to19999,Housing,Household Income,B19001_004E,B19001
265,"Household Income 20,000 to 24,999",hhincome_20to24999,Housing,Household Income,B19001_005E,B19001
266,"Household Income 25,000 to 29,999",hhincome_25to29999,Housing,Household Income,B19001_006E,B19001
267,"Household Income 30,000 to 34,999",hhincome_30to34999,Housing,Household Income,B19001_007E,B19001
