ID,Data Point,Column Name,Category,Sub Category,ACS Variable,Databook,At A Glance Population,At A Glance Housing,At A Glance Economy
187,Male 26 to 34 With Public Health Insurance,healthcoverage_m26to34_wpublic,Population,Healthcare,B27003_013E,1,0,0,0
188,Male 26 to 34 Without Public Health Insurance,healthcoverage_m26to34_wopublic,Population,Healthcare,B27003_014E,1,0,0,0
189,Male 35 to 44 Public Healthcare Coverage,healthcoverage_m35to44_publicall,Population,Healthcare,B27003_015E,1,0,0,0
190,Male 35 to 44 With Public Health Insurance,healthcoverage_m35to44_wpublic,Population,Healthcare,B27003_016E,1,0,0,0
191,Male 35 to 44 Without Public Health Insurance,healthcoverage_m35to44_wopublic,Population,Healthcare,B27003_017E,1,0,0,0
192,Male 45 to 54 Public Healthcare Coverage,healthcoverage_m45to54_publicall,Population,Healthcare,B27003_018E,1,0,0,0
193,Male 45 to 54 With Public Health Insurance,healthcoverage_m45to54_wpublic,Population,Healthcare,B27003_019E,1,0,0,0
194,Male 45 to 54 Without Public Health Insurance,healthcoverage_m45to54_wopublic,Population,Healthcare,B27003_020E,1,0,0,0
195,Male 55 to 64 Public Healthcare Coverage,healthcoverage_m55to64_publicall,Population,Healthcare,B27003_021E,1,0,0,0
196,Male 55 to 64 With Public Health Insurance,healthcoverage_m55to64_wpublic,Population,Healthcare,B27003_022E,1,0,0,0
197,Male 55 to 64 Without Public Health Insurance,healthcoverage_m55to64_wopublic,Population,Healthcare,B27003_023E,1,0,0,0
198,Male 65 to 74 Public Healthcare Coverage,healthcoverage_m65to74_publicall,Population,Healthcare,B27003_024E,1,0,0,0
199,Male 65 to 74 With Public Health Insurance,healthcoverage_m65to74_wpublic,Population,Healthcare,B27003_025E,1,0,0,0
200,Male 65 to 74 Without Public Health Insurance,healthcoverage_m65to74_wopublic,Population,Healthcare,B27003_026E,1,0,0,0
201,Male 75 and Over Public Healthcare Coverage,healthcoverage_m75+_publicall,Population,Healthcare,B27003_027E,1,0,0,0
202,Male 75 and Over With Public Health Insurance,healthcoverage_m75+_wpublic,Population,Healthcare,B27003_028E,1,0,0,0
203,Male 75 and Over Without Public Health Insurance,healthcoverage_m75+_wopublic,Population,Healthcare,B27003_029E,1,0,0,0
204,Total Female Public Health Insurance Coverage,healthcoverage_total_fpublic,Population,Healthcare,B27003_030E,1,0,0,0
205,Female Under 6 Public Healthcare Coverage,healthcoverage_fu6_publicall,Population,Healthcare,B27003_031E,1,0,0,0
206,Female Under 6 With Public Health Insurance,healthcoverage_fu6_wpublic,Population,Healthcare,B27003_032E,1,0,0,0
207,Female Under 6 Without Public Health Insurance,healthcoverage_fu6_wopublic,Population,Healthcare,B27003_033E,1,0,0,0
208,Female 6 to 18  Public Healthcare Coverage,healthcoverage_f6to18_publicall,Population,Healthcare,B27003_034E,1,0,0,0
209,Female 6 to 18 With Public Health Insurance,healthcoverage_f6to18_wpublic,Population,Healthcare,B27003_035E,1,0,0,0
210,Female 6 to 18 Without Public Health Insurance,healthcoverage_f6to18_wopublic,Population,Healthcare,B27003_036E,1,0,0,0
211,Female 19 to 25 Public Healthcare Coverage,healthcoverage_f19to25_publicall,Population,Healthcare,B27003_037E,1,0,0,0
212,Female 19 to 25 With Public Health Insurance,healthcoverage_f19to25_wpublic,Population,Healthcare,B27003_038E,1,0,0,0
213,Female 19 to 25 Without Public Health Insurance,healthcoverage_f19to25_wopublic,Population,Healthcare,B27003_039E,1,0,0,0
214,Female 26 to 34 Public Healthcare Coverage,healthcoverage_f26to34_publicall,Population,Healthcare,B27003_040E,1,0,0,0
215,Female 26 to 34 With Public Health Insurance,healthcoverage_f26to34_wpublic,Population,Healthcare,B27003_041E,1,0,0,0
216,Female 26 to 34 Without Public Health Insurance,healthcoverage_f26to34_wopublic,Population,Healthcare,B27003_042E,1,0,0,0
217,Female 35 to 44 Public Healthcare Coverage,healthcoverage_f35to44_publicall,Population,Healthcare,B27003_043E,1,0,0,0
218,Female 35 to 44 With Public Health Insurance,healthcoverage_f35to44_wpublic,Population,Healthcare,B27003_044E,1,0,0,0
219,Female 35 to 44 Without Public Health Insurance,healthcoverage_f35to44_wopublic,Population,Healthcare,B27003_045E,1,0,0,0
220,Female 45 to 54 Public Healthcare Coverage,healthcoverage_f45to54_publicall,Population,Healthcare,B27003_046E,1,0,0,0
221,Female 45 to 54 With Public Health Insurance,healthcoverage_f45to54_wpublic,Population,Healthcare,B27003_047E,1,0,0,0
222,Female 45 to 54 Without Public Health Insurance,healthcoverage_f45to54_wopublic,Population,Healthcare,B27003_048E,1,0,0,0
